antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
AKT1_P	1	iRSK_EGF	0.9864574288393326	0.8341947428789618	0.07873255141880381	-0.01967130296296698	cell_state_marker
AKT1_P	2	iRSK_EGF	0.9260903785156601	0.04693244589992877	1.328526811797257	-0.11077509981034976	cell_state_marker
AKT1_P	3	iRSK_EGF	0.9375485109694119	0.13792677754986557	0.8603514103057062	-0.09303475401885858	cell_state_marker
AKT1_P	4	iRSK_EGF	0.8733515717190469	0.052411235692105276	1.2805756008786642	-0.19536556053796095	cell_state_marker
AKT1_P	5	iRSK_EGF	0.9313538122529276	0.15273558475920412	0.816059768024563	-0.10259875716320233	cell_state_marker
AKT1_P	6	iRSK_EGF	0.9452523957982282	0.2417885761188475	0.6165642222748728	-0.08122849407412008	cell_state_marker
AKT1_P	7	iRSK_EGF	0.9837927935527183	0.7734235662761075	0.11158259907476506	-0.023573607770657114	cell_state_marker
AKT1_P	8	iRSK_EGF	0.9750794362929206	0.5847283608426224	0.23304584124267852	-0.03640833994551266	cell_state_marker
AKT1_P	9	iRSK_EGF	0.9545893705474235	0.5555216833379986	0.2552989848414637	-0.06704782296812109	cell_state_marker
AKT123_P	1	iRSK_EGF	0.909090388655464	0.05776794837130278	1.2383130561533087	-0.13750434966277064	cell_state_marker
AKT123_P	2	iRSK_EGF	0.930171822060118	0.01246886434694133	1.9041730998748272	-0.10443085830356046	cell_state_marker
AKT123_P	3	iRSK_EGF	0.89896248425024206	0.016046391889873418	1.7946226055318013	-0.15366718483781733	cell_state_marker
AKT123_P	4	iRSK_EGF	0.8851268112880647	0.010725969834952338	1.9695634287539099	-0.1760439313185576	cell_state_marker
AKT123_P	5	iRSK_EGF	0.9232678713985665	0.01617560597478029	1.791139440701074	-0.1151788114033486	cell_state_marker
AKT123_P	6	iRSK_EGF	0.9308212508336783	0.09357347399424612	1.0288472466744778	-0.10342394675433904	cell_state_marker
AKT123_P	7	iRSK_EGF	0.9349347267364794	0.0987873191435061	1.005298800143689	-0.09706244935314816	cell_state_marker
AKT123_P	8	iRSK_EGF	0.9634650711818941	0.46868969058201815	0.32911459922692654	-0.0536957299191286	cell_state_marker
