antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
AKT1_P	1	ip70S6K_EGF	1.1075235277211408	0.05863457529118144	1.2318462162333017	0.14733734705665705	cell_state_marker
AKT1_P	2	ip70S6K_EGF	1.0769837519774328	0.13176121662839893	0.8802124037247564	0.10699648468397459	cell_state_marker
AKT1_P	3	ip70S6K_EGF	1.1258578527823895	0.008345939892606584	2.0785247473984874	0.17102468884670308	cell_state_marker
AKT1_P	4	ip70S6K_EGF	1.0852669151426804	0.17698710219228686	0.7520583813829064	0.11804990884030522	cell_state_marker
AKT1_P	5	ip70S6K_EGF	1.1210370760767765	0.019873872691110624	1.7017174965288593	0.16483399320806963	cell_state_marker
AKT1_P	6	ip70S6K_EGF	1.2203122979729721	4.693834372050898e-4	3.3284722391033026	0.2872504044113573	cell_state_marker
AKT1_P	7	ip70S6K_EGF	1.1045437708310692	0.03977241532561593	1.400418034089823	0.14345059090657822	cell_state_marker
AKT1_P	8	ip70S6K_EGF	1.0777120805926534	0.1697150552876178	0.7702796300552298	0.107971802040097	cell_state_marker
AKT1_P	9	ip70S6K_EGF	1.1657047684508004	0.03074283981226245	1.5122560178437265	0.22120245146831083	cell_state_marker
AKT123_P	1	ip70S6K_EGF	0.9955827499152782	0.9317550099764242	0.030698263399166002	-0.006386861381674252	cell_state_marker
AKT123_P	2	ip70S6K_EGF	0.9731084716643053	0.40120251769426074	0.3966363502844865	-0.03932746479377121	cell_state_marker
AKT123_P	3	ip70S6K_EGF	1.0224657924422111	0.5260023551395235	0.2790123113181062	0.03205257725062601	cell_state_marker
AKT123_P	4	ip70S6K_EGF	0.989854601285135	0.7798751276860869	0.10797493025613596	-0.014711470109547807	cell_state_marker
AKT123_P	5	ip70S6K_EGF	0.9960220985101372	0.9146433149717114	0.03874823548566505	-0.005750343500320677	cell_state_marker
AKT123_P	6	ip70S6K_EGF	0.9410295053026578	0.07178645883026684	1.143957469544821	-0.08768813656002619	cell_state_marker
AKT123_P	7	ip70S6K_EGF	0.9783242737809614	0.5620898235979916	0.2501942773564924	-0.03161535707761349	cell_state_marker
AKT123_P	8	ip70S6K_EGF	0.9960138480865763	0.9329816287718316	0.03012690780931023	-0.0057622939324169864	cell_state_marker
AKT123_P	9	ip70S6K_EGF	1.121581473830566	0.015043663182939279	1.8226463986894417	0.16553442436710297	cell_state_marker
AKT2	1	ip70S6K_EGF	0.9814111584546389	0.6438271705978638	0.19123069930040856	-0.027070420225002237	cell_state_marker
AKT2	2	ip70S6K_EGF	0.9487009792924712	0.0638261293491727	1.1950014919835696	-0.0759746585055264	cell_state_marker
AKT2	3	ip70S6K_EGF	0.972491743824439	0.47973711706110544	0.3189966790508469	-0.04024209280303093	cell_state_marker
AKT2	4	ip70S6K_EGF	0.9615489335023507	0.39637878152589723	0.40188960169649435	-0.05656781628754007	cell_state_marker
AKT2	5	ip70S6K_EGF	1.0472610030396166	0.22799634980192632	0.6420721059538055	0.06662104194833604	cell_state_marker
AKT2	6	ip70S6K_EGF	1.05003157862187	0.07196485393054593	1.1428795517723174	0.07043271611625802	cell_state_marker
AKT2	7	ip70S6K_EGF	1.0046735581855857	0.8904492288985599	0.05039083783778352	0.006726812358644078	cell_state_marker
AKT2	8	ip70S6K_EGF	1.0925404183028122	0.015820929033728115	1.8007680175276584	0.12768665291251732	cell_state_marker
AKT2	9	ip70S6K_EGF	1.193870134182293	0.001777016808726679	2.7503084642021722	0.2556459128498811	cell_state_marker
BMPRII	1	ip70S6K_EGF	0.9706582617218595	0.5513664932735252	0.2585596296494765	-0.04296463744899475	cell_state_marker
BMPRII	2	ip70S6K_EGF	0.9635814378817567	0.18340914866350558	0.73657900500743	-0.053521492649575605	cell_state_marker
BMPRII	3	ip70S6K_EGF	0.939365448039182	0.03913702436766465	1.4074121973246634	-0.09024156586401993	cell_state_marker
BMPRII	4	ip70S6K_EGF	0.9514927757381801	0.14638248920716004	0.8345108720176886	-0.07173539208881959	cell_state_marker
