antibody	type	cluster	intensity
AKT1_P	Signalling state marker	C1	0.2017784859870235
AKT1_P	Signalling state marker	C2	-0.76661451674364
AKT1_P	Signalling state marker	C3	-0.174900715798836
AKT1_P	Signalling state marker	C4	-0.251733926509602
AKT1_P	Signalling state marker	C5	-0.17877444591632752
AKT1_P	Signalling state marker	C6	0.29091388060834955
AKT1_P	Signalling state marker	C7	0.35331529845371545
AKT1_P	Signalling state marker	C8	-0.616987413686242
AKT1_P	Signalling state marker	C9	0.710890915637058
AKT123_P	Signalling state marker	C1	0.030574972823210353
AKT123_P	Signalling state marker	C2	-0.6579818949589455
AKT123_P	Signalling state marker	C3	0.00602956113862777
AKT123_P	Signalling state marker	C4	-0.304882131956173
AKT123_P	Signalling state marker	C5	-0.247806760990859
AKT123_P	Signalling state marker	C6	0.644430685676407
AKT123_P	Signalling state marker	C7	0.2067485203631155
AKT123_P	Signalling state marker	C8	-0.232955861614069
AKT123_P	Signalling state marker	C9	1.38168216418362
AKT2	Signalling state marker	C1	-0.055859642811677955
AKT2	Signalling state marker	C2	-0.906141981973503
AKT2	Signalling state marker	C3	-0.168986022361345
AKT2	Signalling state marker	C4	-0.334185787333062
AKT2	Signalling state marker	C5	-0.22101609406420403
AKT2	Signalling state marker	C6	0.6297191160836364
AKT2	Signalling state marker	C7	0.51052052265664
AKT2	Signalling state marker	C8	-0.345538085889246
AKT2	Signalling state marker	C9	1.48920170174094
BMPRII	Signalling state marker	C1	-0.479849745630857
BMPRII	Signalling state marker	C2	-0.598557982225842
BMPRII	Signalling state marker	C3	0.054024525989568
BMPRII	Signalling state marker	C4	-0.321189527845466
BMPRII	Signalling state marker	C5	-0.5475077371103275
BMPRII	Signalling state marker	C6	0.13031087067685648
BMPRII	Signalling state marker	C7	-0.2658360031342125
BMPRII	Signalling state marker	C8	0.84528484064751
BMPRII	Signalling state marker	C9	1.04284273280595
CDC2	Signalling state marker	C1	-0.1886400707155275
CDC2	Signalling state marker	C2	-0.883620930948787
CDC2	Signalling state marker	C3	-0.140705525932723
CDC2	Signalling state marker	C4	-0.329995954636424
CDC2	Signalling state marker	C5	-0.35779216339812503
CDC2	Signalling state marker	C6	0.9260985976894589
CDC2	Signalling state marker	C7	0.38903201981596247
CDC2	Signalling state marker	C8	-0.376331593515789
CDC2	Signalling state marker	C9	1.74322781819401
CJUN_P	Signalling state marker	C1	-0.328205728239352
CJUN_P	Signalling state marker	C2	-0.2015972277047775
CJUN_P	Signalling state marker	C3	0.121662162256494
CJUN_P	Signalling state marker	C4	-0.429027067641222
CJUN_P	Signalling state marker	C5	-0.32310609543797597
CJUN_P	Signalling state marker	C6	-0.040504913474880305
CJUN_P	Signalling state marker	C7	-0.312184321566491
CJUN_P	Signalling state marker	C8	-0.500430331955211
CJUN_P	Signalling state marker	C9	-0.244205511060862
CMYC	Signalling state marker	C1	-0.2479542762216855
CMYC	Signalling state marker	C2	-0.378152308051118
CMYC	Signalling state marker	C3	0.0978356072789978
CMYC	Signalling state marker	C4	-0.323865491416173
CMYC	Signalling state marker	C5	-0.399101735162777
CMYC	Signalling state marker	C6	-0.0490580647511946
CMYC	Signalling state marker	C7	-0.4382434405197555
CMYC	Signalling state marker	C8	0.567441156353755
CMYC	Signalling state marker	C9	0.246391768131125
CREB_P	Signalling state marker	C1	-0.060655214927911
CREB_P	Signalling state marker	C2	-0.4456443763181945
CREB_P	Signalling state marker	C3	-0.0580880999227651
CREB_P	Signalling state marker	C4	-8.12595536092683e-4
CREB_P	Signalling state marker	C5	0.1276098475314262
CREB_P	Signalling state marker	C6	0.1890539892096305
CREB_P	Signalling state marker	C7	0.3700203671569195
CREB_P	Signalling state marker	C8	-1.01360079137348
CREB_P	Signalling state marker	C9	0.209788516850994
EGFR_P_Y1045	Signalling state marker	C1	0.04085998659845375
EGFR_P_Y1045	Signalling state marker	C2	-0.8199913219286685
EGFR_P_Y1045	Signalling state marker	C3	-0.0160917107052758
EGFR_P_Y1045	Signalling state marker	C4	-0.246216478851445
EGFR_P_Y1045	Signalling state marker	C5	-0.2538659963302935
EGFR_P_Y1045	Signalling state marker	C6	0.557811877054684
EGFR_P_Y1045	Signalling state marker	C7	0.38278039660163454
