antibody	fold_change	p_value	log2_fold_change	minus_log10_p_value
AKT1_P	0.9227103280696507	0.0013755097892312884	-0.11605028975601613	2.861536314475314
AKT123_P	0.9072866847914732	4.814942944353362e-8	-0.14036960876914165	7.317408854769832
AKT2	0.9421001044466383	1.9595334886102211e-4	-0.08604773089255441	3.7078473099892233
BMP2_4	0.9999704752954114	0.8108274156746027	-4.259577371061519e-5	0.09107157537751852
BMPRII	0.9056394987344021	1.1718170878083356e-10	-0.14299121336779239	9.931140173262484
CDC2	0.9134409676014204	0.0025094919029038376	-0.1306165992043862	2.600414201268976
CDK4	0.9698027000731441	0.03275350421780199	-0.04423682447265718	1.4847422290755048
CFOS_P	0.99497579298649	0.8831930346219189	-0.007266668490544699	0.053944364702278404
CJUN_P	1.2746012044602328	1.6653345369377348e-15	0.35004592916724786	14.778498511135322
CMYC	0.6770519088078633	0	-0.5626616470415986	20
CREB_P	1.0481493374104636	0.13281548462564463	0.06784428270792521	0.8767512887071757
CYCLIN_B1	1.1652317283156857	0.15876598604312986	0.22061689054257386	0.7992425350074414
CYCLIN_E	0.9441623325703951	3.941006984500284e-4	-0.0828931672281093	3.4043927954497373
EGFR_P_Y1045	0.8794179134229488	1.0661471705475378e-12	-0.18537917486438985	11.972182841327209
EGFR_P_Y1173	0.9255711319993851	3.0525350025456532e-9	-0.11158422652104792	8.51533934742394
EPHRIN_B3	0.9530120018727166	3.475034969757651e-5	-0.0694337118820301	4.459040820686424
ERK1_2	0.9921176920902334	0.8181120428801273	-0.011416821328178933	0.08718721433309651
ERK1_2_P	1.5618793588043987	0	0.6432830225091558	20
FAK	0.9161476565192214	5.890588439250166e-8	-0.1263479570886017	7.229841319278348
FAK_P	0.9196879844024547	9.433361491173464e-6	-0.12078360296226984	5.0253335228586575
FRIZZLED_3	1.0072232493826359	0.7013006631918595	0.010383489779885863	0.15409575040618137
GAPDH	0.9132200570798066	3.6571320262135387e-6	-0.13096554902185084	5.436859360903134
GSK3B_P	0.8659236243301011	1.215833771439634e-7	-0.2076883120362623	6.915125797663058
H2A_P	0.7578765966458452	4.69356129939591e-6	-0.39996513818053714	5.328497505737714
H3_P	0.9556128896811205	0.43107816088597495	-0.06550178132583345	0.3654439786468296
IGFBP_3	0.9222085163752031	7.189638966398348e-7	-0.1168351061321651	6.143292917522222
IKBA	0.9986596208843462	0.8512764805849486	-0.0019350554469261567	0.06992936530758913
IKBA_P	0.9064835760604095	0	-0.1416472138598506	20
ITGB1	0.8454107899303287	7.127018974983912e-10	-0.24227556936554728	9.147092084935355
JAGGED_1	1.0635552870389515	0.004615734003270311	0.08889503119584236	2.335759226767507
JAK1	1.0818379455869036	2.3497504028080485e-6	0.11348440618138603	5.6289782672772715
JAK1_P	0.9012112505172974	1.1155638635074183e-9	-0.15006277092320966	8.952505562291885
JNK	0.971080521911555	0.028042645359623752	-0.04233716613681166	1.5521810202739477
JNK_P	1.061655157370842	0.0013627643880165241	0.08631523173466112	2.8655792240108173
KALLIKREIN_6	1.276024069733275	0	0.35165554301917457	20
KLF4	0.9482043409655903	4.745882176138139e-8	-0.07673009701901042	7.323683048016747
LRP6_P	0.896029185053652	3.620206245891211e-9	-0.15838237103478445	8.441266686676519
MAPK_APK2_P	1.2890451977273065	0	0.36630284973049054	20
MAPK_P38_P	0.996449713347273	0.9452567580740097	-0.005131094775448808	0.02445020898393103
MAPK_P38_P2	0.9915494481906035	0.5188409082367189	-0.012243373990960522	0.2849657891009485
MKK3_6_P	0.9457537717703026	4.99236080205856e-5	-0.0804634699743708	4.301694035368754
MTOR_P	0.9347756979036098	5.641896926974477e-4	-0.09730786715268436	3.2485748523272524
NFKB_P65_P	0.8230664215105467	0	-0.28091923396441204	20
NICD	0.929401273878481	0.001184315007114689	-0.10562647261575532	2.926532767498173
