antibody	fold_change	p_value	log2_fold_change	minus_log10_p_value
AKT1_P	1.2248333319418683	0	0.29258544919536844	20
AKT123_P	1.0948843882008668	1.642764591025525e-9	0.1307785398036115	8.784424666719259
AKT2	1.0883007803977016	9.670548773987875e-7	0.12207733822251188	6.0145488803376415
BMP2_4	0.9521647116928805	6.630422399055425e-4	-0.07071693292134816	3.1784588034601593
BMPRII	1.0650468022550557	0.00065332364851122815	0.09091682941606644	3.1848716212651866
CDC2	1.1286288330060326	8.372134874257142e-9	0.1745711116003349	8.077163783836241
CDK4	1.0476820271383094	0.005571585982573124	0.06720092348087105	2.254021162916469
CFOS_P	1.0741440013503336	0.001712930130748469	0.1031874161424552	2.7662603512488726
CJUN_P	0.6341247340664976	0	-0.657161444555234	20
CMYC	1.262804542010533	0	0.3366313548071587	20
CREB_P	1.0966597687201707	5.307613504257347e-8	0.13311600877325144	7.275100709598035
CYCLIN_B1	0.9145916905648406	0.021092963523159702	-0.12880028315048359	1.67586239838581
CYCLIN_E	1.0686514007573122	5.123301711001949e-4	0.0957913157173167	3.290450067788507
EGFR_P_Y1045	1.1306285524290687	3.042626151028571e-10	0.1771250357940002	9.516751406340356
EGFR_P_Y1173	1.076884938583656	1.4260832077450658e-6	0.10686411116102047	5.845855133943985
EPHRIN_B3	1.0657552705664544	3.0140845689308193e-6	0.09187618999693224	5.520844566452463
ERK1_2	0.969022443329438	0.03889911045884098	-0.045398014897038944	1.4100603299656536
ERK1_2_P	0.6208921186469746	0	-0.6875854760609545	20
FAK	1.084022671338212	1.5527769793965973e-5	0.11639492964859194	4.808890916179159
FAK_P	1.1185771034949514	2.1485474510640756e-8	0.1616647047617501	7.6678550504009655
FRIZZLED_3	1.0614351268286784	0.010813839788136104	0.08601619878677151	1.9660200689793552
GAPDH	1.075076562043618	1.3211731087370282e-5	0.10443940562634495	4.879040274555233
GSK3B_P	1.2839876383932958	0	0.36063131296291234	20
H2A_P	1.3351955444691463	3.017583960485126e-10	0.4170510455658515	9.5203406373638
H3_P	1.1134908899833584	6.612273363271193e-5	0.15508975477626785	4.179649200214603
IGFBP_3	1.1357881376549388	2.2953161593619598e-10	0.18369374922638743	9.639157485808852
IKBA	0.9956884310739993	0.5509949575438526	-0.006233727358341724	0.2588523755963103
IKBA_P	1.0938862973148502	0	0.1294627867364228	20
