antibody	cluster	treatment	fold_change	p_value	minus_log10_p_value	log2_fold_change	type
BMP2_4	1	ip70S6K_EGF	0.9931388414231275	0.8897695307256461	0.05072247031677426	-0.009932673376891486	signalling_state_marker
BMP2_4	2	ip70S6K_EGF	0.9625629416406932	0.1313549270256002	0.8815536325094367	-0.05504721380393478	signalling_state_marker
BMP2_4	3	ip70S6K_EGF	0.9030413659835013	0.03301077420868023	1.4813442899497629	-0.1471360195484722	signalling_state_marker
BMP2_4	4	ip70S6K_EGF	0.9875190974551753	0.698831876122107	0.15562729357433405	-0.01811944641915706	signalling_state_marker
BMP2_4	5	ip70S6K_EGF	1.0128943593803839	0.6525968899812109	0.18535500021902512	0.018483714962866434	signalling_state_marker
BMP2_4	6	ip70S6K_EGF	0.9584693372410212	0.1174586184743571	0.9301151115510541	-0.061195816064267834	signalling_state_marker
BMP2_4	7	ip70S6K_EGF	0.9531676833648899	0.06546434776158554	1.1839951547542302	-0.06919805632557299	signalling_state_marker
BMP2_4	8	ip70S6K_EGF	1.0339493134737188	0.7186797487401007	0.14346459270320688	0.04816546322300463	signalling_state_marker
BMP2_4	9	ip70S6K_EGF	1.0265126404295895	0.567526943345134	0.2460135155121955	0.03775139283648335	signalling_state_marker
CDK4	1	ip70S6K_EGF	1.01937774192495	0.7099857838436048	0.14875034714020272	0.027688757507320378	signalling_state_marker
CDK4	2	ip70S6K_EGF	0.9719091374107318	0.294065555006639	0.531555843043523	-0.04110665053606959	signalling_state_marker
CDK4	3	ip70S6K_EGF	0.9928606295736186	0.7927254593950703	0.10087719365820035	-0.010336877772804082	signalling_state_marker
CDK4	4	ip70S6K_EGF	0.9898268095927525	0.7986326813508803	0.09765292174005667	-0.01475197656332418	signalling_state_marker
CDK4	5	ip70S6K_EGF	1.0528573802856451	0.18721534004812088	0.7276585689242805	0.07431002260306506	signalling_state_marker
CDK4	6	ip70S6K_EGF	1.0597225605747396	0.1205474233937565	0.9188420678898659	0.08368661113445348	signalling_state_marker
CDK4	7	ip70S6K_EGF	0.9873097439227513	0.6183331457318915	0.20877747253293744	-0.018425329438306635	signalling_state_marker
CDK4	8	ip70S6K_EGF	1.1402605906731995	0.012742544274618711	1.8947438487583488	0.18936356992445394	signalling_state_marker
CDK4	9	ip70S6K_EGF	1.0999355969976699	0.04755914841247908	1.3227659304005353	0.1374190541025203	signalling_state_marker
CFOS_P	1	ip70S6K_EGF	0.997137298258794	0.9533529016721635	0.02074630725388357	-0.004135928398862259	signalling_state_marker
CFOS_P	2	ip70S6K_EGF	1.0809933327240062	0.09673255620806578	1.014427335617647	0.11235762494520368	signalling_state_marker
CFOS_P	3	ip70S6K_EGF	1.0465513221691287	0.22613160686213074	0.645638731212951	0.06564306211762527	signalling_state_marker
CFOS_P	4	ip70S6K_EGF	1.0294745103972236	0.7420359489990574	0.12957505419033863	0.04190810954396863	signalling_state_marker
CFOS_P	5	ip70S6K_EGF	1.0410070839728858	0.34078464698795674	0.4675199792768334	0.05797988609917329	signalling_state_marker
CFOS_P	6	ip70S6K_EGF	1.068602763545923	0.025317764614481143	1.5965746421954683	0.09572565327542464	signalling_state_marker
CFOS_P	7	ip70S6K_EGF	0.931035011019824	0.21259529334875552	0.67244635456009	-0.10309267439119763	signalling_state_marker
CFOS_P	8	ip70S6K_EGF	1.128361417457189	0.10130306220681891	0.9943774265111561	0.17422924119314162	signalling_state_marker
CFOS_P	9	ip70S6K_EGF	1.2064032741766197	0.00130798226436413	2.8833981448045742	0.2707122491966372	signalling_state_marker
CYCLIN_B1	1	ip70S6K_EGF	1.0551133858614816	0.29806635084747496	0.52568704934848	0.07739804389006315	signalling_state_marker
CYCLIN_B1	2	ip70S6K_EGF	1.092150654960872	0.23535828500670042	0.6282705091935341	0.12717188022599424	signalling_state_marker
CYCLIN_B1	3	ip70S6K_EGF	1.0789827658061673	0.13564902992089786	0.86758330770045	0.10967182137408149	signalling_state_marker
CYCLIN_B1	4	ip70S6K_EGF	1.0609340023010365	0.46881472392432066	0.32899875701840436	0.08533491307222807	signalling_state_marker
CYCLIN_B1	5	ip70S6K_EGF	0.9508298460364392	0.7854221883951649	0.10489683395245177	-0.07274090547643124	signalling_state_marker
CYCLIN_B1	6	ip70S6K_EGF	1.0675184170544978	0.5045978881802193	0.2970545714038519	0.09426095974177798	signalling_state_marker
CYCLIN_B1	7	ip70S6K_EGF	0.98827311944167	0.848332076279531	0.07143411158158149	-0.017018294360610725	signalling_state_marker
CYCLIN_B1	8	ip70S6K_EGF	1.0396640599674127	0.4854484835531875	0.3138568512259635	0.0561174347961657	signalling_state_marker
CYCLIN_B1	9	ip70S6K_EGF	1.055984292496953	0.5768327568767178	0.23895008510058607	0.07858837512696362	signalling_state_marker
CYCLIN_E	1	ip70S6K_EGF	0.9317598894296093	0.059158000991540595	1.227986509675331	-0.1019698685046468	signalling_state_marker
CYCLIN_E	2	ip70S6K_EGF	0.9722704119567496	0.3558108828683768	0.44878077267311123	-0.040570476804473676	signalling_state_marker
CYCLIN_E	3	ip70S6K_EGF	1.0005101364540785	0.9849436581021909	0.006588611812191898	7.357836733912413e-4	signalling_state_marker
CYCLIN_E	4	ip70S6K_EGF	1.0344870919000844	0.2307764338947013	0.6368085419289413	0.048915643682293175	signalling_state_marker
CYCLIN_E	5	ip70S6K_EGF	1.0178661890226326	0.6407255596585687	0.1933279508992503	0.025547913945829313	signalling_state_marker
CYCLIN_E	6	ip70S6K_EGF	0.9785734088806041	0.32888867453390624	0.482951081434085	-0.031248014443512318	signalling_state_marker
CYCLIN_E	7	ip70S6K_EGF	0.955557213594012	0.1730814449505646	0.761749487800576	-0.06558583832803594	signalling_state_marker
CYCLIN_E	8	ip70S6K_EGF	1.073403655927217	0.08720373788718123	1.0594648991387068	0.10219270693619546	signalling_state_marker
CYCLIN_E	9	ip70S6K_EGF	1.2089577704162053	0.0011342819935006116	2.945278962200967	0.27376385130732667	signalling_state_marker
ERK1_2	1	ip70S6K_EGF	1.0073862250018497	0.8729998771349049	0.05898581741657984	0.010616908833184403	signalling_state_marker
ERK1_2	2	ip70S6K_EGF	0.9472800690394637	0.053285724057569775	1.2733891285620365	-0.07813706467635645	signalling_state_marker
ERK1_2	3	ip70S6K_EGF	0.9272053132910607	0.04977438886125437	1.3029940636122415	-0.10903926124713981	signalling_state_marker
ERK1_2	4	ip70S6K_EGF	1.0519897484168848	0.12292922205298543	0.9103448667650703	0.07312064571368981	signalling_state_marker
ERK1_2	5	ip70S6K_EGF	1.0432160667567818	0.3243469773236387	0.4889901450215027	0.061037994056471034	signalling_state_marker
ERK1_2	6	ip70S6K_EGF	0.9807156199356405	0.5801765664883138	0.2364398164681033	-0.028093238959436707	signalling_state_marker
ERK1_2	7	ip70S6K_EGF	0.9372613152581557	0.0504502810334171	1.2971364101818312	-0.09347675706987588	signalling_state_marker
ERK1_2	8	ip70S6K_EGF	0.9715857781445753	0.4775800177489732	0.32095385265528853	-0.04158672260652414	signalling_state_marker
ERK1_2	9	ip70S6K_EGF	1.1008993650687597	0.050291829790491335	1.2985025629581768	0.13868259592148646	signalling_state_marker
FRIZZLED_3	1	ip70S6K_EGF	0.9975675343954016	0.9539484319813922	0.020475101513138107	-0.0035135811320795847	signalling_state_marker
FRIZZLED_3	2	ip70S6K_EGF	1.0618701737295233	0.09972189224140013	1.0012094892717374	0.08660739027960204	signalling_state_marker
FRIZZLED_3	3	ip70S6K_EGF	1.0488397849605893	0.24095814220389544	0.6180583938928523	0.06879431652729943	signalling_state_marker
FRIZZLED_3	4	ip70S6K_EGF	0.9585100326090665	0.2877937069148091	0.5409187068624216	-0.061134562399676226	signalling_state_marker
FRIZZLED_3	5	ip70S6K_EGF	1.0352578824860634	0.4884298356507325	0.3111978151147124	0.04999018747500704	signalling_state_marker
FRIZZLED_3	6	ip70S6K_EGF	1.1530846512116883	4.4831400527387486e-5	4.348417693616578	0.20549842920858746	signalling_state_marker
FRIZZLED_3	7	ip70S6K_EGF	1.0308679810132673	0.39450881627108725	0.4039432869663449	0.04385958456552285	signalling_state_marker
FRIZZLED_3	8	ip70S6K_EGF	1.1687471824264641	0.010679018093469635	1.9714686776625299	0.22496288700731834	signalling_state_marker
FRIZZLED_3	9	ip70S6K_EGF	1.031668654946099	0.6278539317838041	0.2021413817387066	0.04497968914951079	signalling_state_marker
H3_P	1	ip70S6K_EGF	1.0237373150402402	0.568493219132399	0.24527471111862914	0.03384557578138212	signalling_state_marker
