"","antibody","fold_change","p_value","log2_fold_change","minus_log10_p_value"
"1","AKT1_P",0.922710328069651,0.00137550978923129,-0.116050289756016,2.86153631447531
"2","AKT123_P",0.907286684791473,4.81494294435336e-08,-0.140369608769142,7.31740885476983
"3","AKT2",0.942100104446638,0.000195953348861022,-0.0860477308925544,3.70784730998922
"4","BMP2_4",0.999970475295411,0.810827415674603,-4.25957737106152e-05,0.0910715753775185
"5","BMPRII",0.905639498734402,1.17181708780834e-10,-0.142991213367792,9.93114017326248
"6","CDC2",0.91344096760142,0.00250949190290384,-0.130616599204386,2.60041420126898
"7","CDK4",0.969802700073144,0.032753504217802,-0.0442368244726572,1.4847422290755
"8","CFOS_P",0.99497579298649,0.883193034621919,-0.0072666684905447,0.0539443647022784
"9","CJUN_P",1.27460120446023,1.66533453693773e-15,0.350045929167248,14.7784985111353
"10","CMYC",0.677051908807863,0,-0.562661647041599,20
"11","CREB_P",1.04814933741046,0.132815484625645,0.0678442827079252,0.876751288707176
"12","CYCLIN_B1",1.16523172831569,0.15876598604313,0.220616890542574,0.799242535007441
"13","CYCLIN_E",0.944162332570395,0.000394100698450028,-0.0828931672281093,3.40439279544974
"14","EGFR_P_Y1045",0.879417913422949,1.06614717054754e-12,-0.18537917486439,11.9721828413272
"15","EGFR_P_Y1173",0.925571131999385,3.05253500254565e-09,-0.111584226521048,8.51533934742394
"16","EPHRIN_B3",0.953012001872717,3.47503496975765e-05,-0.0694337118820301,4.45904082068642
"17","ERK1_2",0.992117692090233,0.818112042880127,-0.0114168213281789,0.0871872143330965
"18","ERK1_2_P",1.5618793588044,0,0.643283022509156,20
"19","FAK",0.916147656519221,5.89058843925017e-08,-0.126347957088602,7.22984131927835
"20","FAK_P",0.919687984402455,9.43336149117346e-06,-0.12078360296227,5.02533352285866
"21","FRIZZLED_3",1.00722324938264,0.701300663191859,0.0103834897798859,0.154095750406181
"22","GAPDH",0.913220057079807,3.65713202621354e-06,-0.130965549021851,5.43685936090313
"23","GSK3B_P",0.865923624330101,1.21583377143963e-07,-0.207688312036262,6.91512579766306
"24","H2A_P",0.757876596645845,4.69356129939591e-06,-0.399965138180537,5.32849750573771
"25","H3_P",0.95561288968112,0.431078160885975,-0.0655017813258335,0.36544397864683
"26","IGFBP_3",0.922208516375203,7.18963896639835e-07,-0.116835106132165,6.14329291752222
"27","IKBA",0.998659620884346,0.851276480584949,-0.00193505544692616,0.0699293653075891
"28","IKBA_P",0.90648357606041,0,-0.141647213859851,20
"29","ITGB1",0.845410789930329,7.12701897498391e-10,-0.242275569365547,9.14709208493536
"30","JAGGED_1",1.06355528703895,0.00461573400327031,0.0888950311958424,2.33575922676751
"31","JAK1",1.0818379455869,2.34975040280805e-06,0.113484406181386,5.62897826727727
"32","JAK1_P",0.901211250517297,1.11556386350742e-09,-0.15006277092321,8.95250556229188
"33","JNK",0.971080521911555,0.0280426453596238,-0.0423371661368117,1.55218102027395
"34","JNK_P",1.06165515737084,0.00136276438801652,0.0863152317346611,2.86557922401082
"35","KALLIKREIN_6",1.27602406973327,0,0.351655543019175,20
"36","KLF4",0.94820434096559,4.74588217613814e-08,-0.0767300970190104,7.32368304801675
"37","LRP6_P",0.896029185053652,3.62020624589121e-09,-0.158382371034784,8.44126668667652
"38","MAPK_APK2_P",1.28904519772731,0,0.366302849730491,20
"39","MAPK_P38_P",0.996449713347273,0.94525675807401,-0.00513109477544881,0.024450208983931
"40","MAPK_P38_P2",0.991549448190604,0.518840908236719,-0.0122433739909605,0.284965789100948
"41","MKK3_6_P",0.945753771770303,4.99236080205856e-05,-0.0804634699743708,4.30169403536875
"42","MTOR_P",0.93477569790361,0.000564189692697448,-0.0973078671526844,3.24857485232725
"43","NFKB_P65_P",0.823066421510547,0,-0.280919233964412,20
"44","NICD",0.929401273878481,0.00118431500711469,-0.105626472615755,2.92653276749817
"45","NOTCH_1",0.988325347718358,0.0386724210863773,-0.01694205280013,1.41259863807589
"46","NOTCH_2",0.904043541166514,1.2330422272111e-07,-0.145535836503237,6.90902205014333
"47","NOTCH_3",0.894468051475882,0.00434855250602728,-0.1608981417331,2.36165528172586
"48","P63",0.988425001771088,0.751580885951876,-0.0167965914293136,0.12402427331763
"49","PLC_G1_P",0.893597027564966,1.98138456086738e-07,-0.162303707996769,6.70303122539324
"50","PLC_G2_P",0.882496156309881,7.12866598374662e-05,-0.180338100112326,4.14699173383717
"51","RB_P",0.844296748681211,0.00560320930785152,-0.244177936469442,2.25156315416154
"52","RELA",0.949991798944789,0.0146407283401787,-0.0740130358361485,1.83443731765929
"53","RELA_P",0.857673827022543,5.79536418854332e-14,-0.221498999148713,13.2369192671887
"54","RIBOSOMAL_S6_P",0.716897770099234,1.22124532708767e-15,-0.480160690166859,14.9131970850328
"55","RNAPOLII",0.90520433147553,4.41476154522391e-08,-0.143684606854236,7.35509274902643
"56","RSK1_P_S380",1.0495834745288,0.00233632778786275,0.0698169103172649,2.63146622556939
"57","RSK1_P_T359",0.75027344530876,0,-0.414511597555389,20
"58","SMAD1",0.870463498482263,0,-0.200144292890053,20
"59","SMAD1_5_9_P",0.925854930009296,1.90384007853206e-05,-0.111141936123261,4.72036953490532
"60","SMAD1_5_P",0.903963147521845,5.97577359817691e-08,-0.145664136374344,7.22360586482804
"61","SMAD2_3_P",0.954800751464835,0.0205303846838308,-0.0667283930108603,1.68760291305026
"62","SMAD3",1.04662520629069,0.0588431955918272,0.0657449094815499,1.23030375011494
