"","antibody","fold_change","p_value","log2_fold_change","minus_log10_p_value"
"1","AKT1_P",1.13016636554672,2.6444508804957e-09,0.176535159439352,8.5776644953978
"2","AKT123_P",0.993374026800705,0.75039035862796,-0.00959106896553022,0.124712754615099
"3","AKT2",1.02528827888203,0.53853890027115,0.0360296073299574,0.268782920847092
"4","BMP2_4",0.952136599311048,0.010984712479584,-0.0707595286950589,1.9592113060775
"5","BMPRII",0.964548452122946,0.00571937412688106,-0.0520743839517259,2.24265149360447
"6","CDC2",1.03093581328389,0.0258629620942926,0.0439545123959489,1.5873217367048
"7","CDK4",1.01604485873684,0.578588663873355,0.0229640990082141,0.23763007961558
"8","CFOS_P",1.06874727952523,0.0225783450518701,0.0959207476519105,1.64630789417283
"9","CJUN_P",0.808256149819183,0,-0.307115515387986,20
"10","CMYC",0.854984225619471,7.19262205350901e-10,-0.22603029223444,9.143112759717
"11","CREB_P",1.14946320994876,1.53321799700734e-13,0.200960291481177,12.8143960916124
"12","CYCLIN_B1",1.06571125630003,0.141034789444228,0.0918166073920902,0.850673745500431
"13","CYCLIN_E",1.00898039924364,0.942569392895851,0.0128981484892073,0.0256866667536092
"14","EGFR_P_Y1045",0.994295002433581,0.410098191450776,-0.00825413907038978,0.387112145964113
"15","EGFR_P_Y1173",0.996733611637963,0.751232840746135,-0.00472011536002739,0.124225434795361
"16","EPHRIN_B3",1.01567756390894,0.0908288424696725,0.0224424781149019,1.04177622046137
"17","ERK1_2",0.961384310059641,0.217689482147458,-0.0568148362252179,0.662162553759403
"18","ERK1_2_P",0.969758584159041,0.171322591021469,-0.0443024535517987,0.766185366111697
"19","FAK",0.993124829960209,0.163970186536918,-0.00995302744000989,0.785235109266533
"20","FAK_P",1.02874192171201,0.130579510176399,0.0408811017994801,0.884124964833149
"21","FRIZZLED_3",1.06910213745325,0.000328631784723532,0.0963996885666574,3.48329043462442
"22","GAPDH",0.981781479354635,0.93805487083556,-0.0265261433955057,0.0277717571389256
"23","GSK3B_P",1.11183522943257,4.13709591029487e-08,0.15294300092665,7.38330441073877
"24","H2A_P",1.01191345509897,0.210664113646404,0.0170859073853145,0.676409439582835
"25","H3_P",1.0640662470106,0.00478150444871561,0.0895879734504344,2.32043543581964
"26","IGFBP_3",1.04743349334332,0.156870781470415,0.0668586430942223,0.804457939955792
"27","IKBA",0.99435383109529,0.809114980362272,-0.00816878280526789,0.0919897580062319
"28","IKBA_P",0.991589962593446,0.213453139125612,-0.0121844271234278,0.670697453908023
"29","ITGB1",0.997613987242199,0.888197654197271,-0.00344640198973518,0.0514903781681141
"30","JAGGED_1",0.99801666394866,0.665768353776033,-0.00286419035149513,0.176676852175868
"31","JAK1",1.03068056947216,0.0261015926234719,0.0435972791236776,1.58333299279645
"32","JAK1_P",0.990660557290305,0.588081914301854,-0.0135372818777808,0.230562176557294
"33","JNK",0.958517805024229,0.00132218884575985,-0.0611228638477922,2.87870651095162
"34","JNK_P",0.948275939846454,0.0686603797218573,-0.0766211632732192,1.16329379906565
"35","KALLIKREIN_6",0.987346416887729,0.224891919171905,-0.0183717424840158,0.648026149375844
"36","KLF4",1.02260196562006,0.0126328781349809,0.0322447042526819,1.89849769332897
"37","LRP6_P",0.87590158546751,7.77822251052385e-13,-0.191159314255081,12.1091196372093
"38","MAPK_APK2_P",1.05662309715223,3.6206471911493e-05,0.0794608518028155,4.44121379233352
"39","MAPK_P38_P",1.06883176395851,6.36823430211209e-07,0.0960347881346371,6.19598096627503
"40","MAPK_P38_P2",0.985997615094737,0.0518550759633173,-0.0203439378330164,1.28520872519662
"41","MKK3_6_P",1.07721835742922,1.88920408461524e-06,0.1073107208661,5.72372112411379
"42","MTOR_P",1.05382338144858,0.0369541785845143,0.0756330946225629,1.43233644675245
"43","NFKB_P65_P",0.928179174861438,3.61446641050645e-06,-0.107524766115707,5.44195580682778
"44","NICD",1.04272816318814,0.0484614000965717,0.0603630996257858,1.31460404283096
"45","NOTCH_1",0.949385686407238,0.203813804490875,-0.0749337960205466,0.690766404180538
"46","NOTCH_2",1.02243066184482,0.189775080816911,0.032003007270168,0.721760814955136
"47","NOTCH_3",0.994008925386255,0.226353824188433,-0.00866928882145346,0.645212163815496
"48","P63",0.927096127304221,0.0600825930615375,-0.109209160356834,1.22125133219538
"49","PLC_G1_P",1.02921712794344,0.42122362248516,0.0415473713112873,0.375487281296429
"50","PLC_G2_P",0.979846295334173,0.335320231970369,-0.0293726378540965,0.474540242073692
"51","RB_P",0.852912406074298,0.0198568859595967,-0.229530510215022,1.70208885838864
"52","RELA",1.03186089668501,0.253376252033457,0.0452484967408161,0.596234092270801
"53","RELA_P",0.959708739619276,0.0459127253644569,-0.0593314637028478,1.33806692688951
"54","RIBOSOMAL_S6_P",0.698448990415221,1.99840144432528e-15,-0.517773339255797,14.6993172650877
"55","RNAPOLII",0.988317575028086,0.907471250194271,-0.0169533989280336,0.0421671250574319
"56","RSK1_P_S380",1.01083374019772,0.328245910568116,0.0155457253149312,0.483800675836395
"57","RSK1_P_T359",0.967256634544462,0.0271583151508696,-0.0480293755439499,1.56609717634209
"58","SMAD1",1.03793684672405,0.0179975055050698,0.0537186655746079,1.74478768492208
"59","SMAD1_5_9_P",1.04865218255174,0.48093582239763,0.0685362434859505,0.317912873393634
"60","SMAD1_5_P",1.03351613167668,0.44629705549357,0.0475609073006726,0.350375978467812
"61","SMAD2_3_P",1.02749411599756,0.0784664616388822,0.0391301322568922,1.10531593099413
"62","SMAD3",1.0152210821838,0.815345998630251,0.0217939337540488,0.0886580557898273
"63","SRC",0.967412423799621,0.00389992097951841,-0.0477970294635096,2.40894419259063
"64","SRC_P",1.03294783333362,0.268025987860864,0.0467673960313505,0.571823094637678
"65","STAT1",1.26534961548079,0.00391425582759319,0.339536055933646,2.40735079316928
"66","STAT1_P",1.01924495671197,0.355803154833594,0.0275008182984959,0.448790205434931
"67","STAT3_P",0.979126739882239,0.227332412124907,-0.0304324779950007,0.643338639930691
"68","STAT5_P",1.02951638216351,0.479333056012503,0.0419667870153409,0.319362619936236
"69","TGM1",0.920292159729561,0.711936945279351,-0.119836157108194,0.147558469186016
