,sample_id,plate_number,treatment,cluster,ITGB1,MAPK_P38_P2,PLC_G2_P,STAT5_P,LRP6_P,H2A_P,KALLIKREIN_6,EPHRIN_B3,PLC_G1_P,SMAD3,MTOR_P,NFKB_P65_P,FAK_P,CDC2,STAT1,EGFR_P_Y1173,IKBA_P,KLF4,JAK1_P,RSK1_P_S380,RB_P,FAK,EGFR_P_Y1045,FRIZZLED_3,CREB_P,NOTCH_3,ERK1_2,MAPK_P38_P,RSK1_P_T359,AKT1_P,BMP2_4,CMYC,SMAD1_5_9_P,NOTCH_2,NICD,JNK,BMPRII,IKBA,GAPDH,AKT123_P,RELA_P,STAT1_P,RIBOSOMAL_S6_P,SMAD1_5_P,H3_P,MKK3_6_P,RNAPOLII,SRC,CFOS_P,STAT3_P,CYCLIN_E,CDK4,CYCLIN_B1,P63,IGFBP_3,NOTCH_1,SMAD2_3_P,RELA,SMAD1,GSK3B_P,ERK1_2_P,MAPK_APK2_P,JAGGED_1,AKT2,TGM1,SRC_P,JNK_P,CJUN_P,JAK1
1,plate_10_171,plate_10,ip70S6K_EGF,1,0.40726944,0.003619471,0.002027027,0.002230499,0.004019574,0.014363747,0.013132668,0.004857292,0.001903925,0.013437112,0.002811179,0.003409986,0.004231109,0.002325634,0.028306365,0.002487438,0.0069876,0.005926982,0.002198661,0.002156876,0.050469064,0.001822035,0.003442445,0.030602999,0.007058905,0.00152064,0.002254508,0.009293048,0.003719638,0.005265481,0.012882064,0.008048295,0.002512634,0.004540322,0.00322567,0.003741616,0.002062432,0.003665731,0.003209111,0.003933379,0.004065519,0.002520184,0.073247853,0.003268539,0.011407669,0.004755641,0.004272498,0.018626983,0.006502505,0.006344583,0.003563406,0.002985491,0.012358075,0.020643385,0.003138435,0.049201398,0.001816367,0.003680264,0.006367827,0.00713397,0.002596269,0.012626697,0.003748591,0.004241875,0.003326421,0.002965212,0.005144888,0.004762539,0.035660467
2,plate_2_171,plate_2,ip70S6K_EGF,2,0.34181269,0.003725469,0.001597868,0.001721966,0.004138523,0.011962981,0.012678181,0.004699611,0.001574703,0.020672658,0.00236268,0.002259406,0.003294917,0.001718982,0.043928954,0.002939954,0.006957773,0.006490524,0.00215433,0.00227294,0.060666863,0.002153959,0.002636072,0.025762892,0.004327514,0.001427418,0.002441297,0.008289691,0.005745205,0.00353418,0.016755431,0.009068415,0.002189035,0.003676214,0.002179199,0.00344471,0.002564871,0.004775432,0.004084541,0.003212871,0.00334868,0.002275102,0.104188699,0.002235462,0.009790489,0.006144666,0.007236988,0.020396815,0.004820193,0.006311144,0.003351527,0.002767437,0.022568708,0.050575401,0.002618319,0.030016415,0.001461647,0.003019078,0.0064309,0.003573219,0.002431113,0.009075842,0.004450243,0.002981204,0.003643226,0.001992655,0.005137663,0.005091178,0.043580245
3,plate_3_171,plate_3,iRSK_EGF,2,0.273786106,0.004479943,0.001947739,0.001525602,0.004760352,0.007268071,0.019538897,0.005171194,0.001323418,0.018740159,0.00205142,0.00248811,0.003354969,0.001674582,0.066248387,0.002199969,0.005917569,0.006059944,0.002465863,0.002311358,0.019657634,0.002265889,0.002195549,0.024205676,0.005614793,0.001768571,0.002509742,0.00776762,0.004317947,0.003190342,0.016386892,0.007457318,0.001630208,0.003909251,0.002475931,0.003005249,0.002629312,0.005531093,0.003584408,0.003247985,0.003081828,0.002303429,0.080980011,0.00191387,0.009043716,0.004581645,0.005470398,0.019629324,0.00445186,0.007121498,0.003691416,0.00279989,0.017495008,0.04162465,0.002878689,0.050796615,0.001282808,0.002689843,0.004985229,0.004809771,0.006063097,0.015242687,0.004665361,0.003589107,0.003316392,0.002482938,0.00616126,0.009220454,0.046971992
4,plate_6_171,plate_6,EGF,3,0.148951575,0.003240211,0.001761677,0.001690573,0.004575998,0.005592721,0.012170966,0.00444284,0.001511173,0.017073461,0.002692862,0.002908282,0.003699403,0.001926912,0.021871448,0.003054441,0.006786307,0.007128931,0.002582399,0.003765875,0.047284457,0.002484393,0.003045481,0.020727975,0.005757249,0.002125208,0.002879067,0.005780473,0.003560527,0.003629567,0.021852742,0.013184016,0.002172903,0.003823807,0.002398061,0.002826472,0.002494606,0.00493044,0.003901247,0.002824581,0.003025635,0.003147911,0.150466081,0.002676908,0.007052485,0.00501449,0.005895337,0.016102225,0.003080459,0.006393559,0.002822616,0.00281139,0.007749528,0.038427846,0.002690694,0.031017739,0.00197369,0.003801129,0.005812818,0.006071853,0.003143771,0.010876708,0.004169937,0.003188443,0.073978827,0.002351415,0.005282989,0.005657904,0.036968871
5,plate_8_171,plate_8,ip70S6K_EGF,4,0.535867973,0.004220393,0.001917044,0.002078325,0.005181622,0.006092821,0.014036597,0.005650767,0.002119054,0.018170957,0.002496572,0.00274971,0.004054241,0.001855526,0.07813259,0.003436287,0.007704671,0.007392822,0.002563898,0.002752857,0.010343943,0.002539819,0.002998049,0.026828341,0.007568331,0.001495151,0.003114763,0.009877747,0.004656142,0.004748765,0.0150599,0.007936841,0.002317655,0.00427377,0.002783372,0.003383211,0.002694583,0.005412326,0.004480146,0.003645705,0.003675589,0.002965308,0.085174225,0.002628655,0.010373367,0.006486584,0.005355313,0.02336868,0.005644182,0.006170633,0.004071437,0.002713535,0.010678432,0.029069976,0.003243053,0.046597833,0.001912721,0.00437121,0.007289723,0.009178078,0.002496599,0.012536843,0.005584608,0.00375212,0.005294592,0.003100388,0.006184108,0.003758668,0.044039717
6,plate_10_169,plate_10,EGF,2,0.330796434,0.004182406,0.001863952,0.001624987,0.004995262,0.007258957,0.011542268,0.005278336,0.001467778,0.020881467,0.002552806,0.003244731,0.003212725,0.001586761,0.03800453,0.002447117,0.005996607,0.006229446,0.002422962,0.002228768,0.061929475,0.00247819,0.002728919,0.024612996,0.004717355,0.001145903,0.002889471,0.008388735,0.004911271,0.003408773,0.015457684,0.008668179,0.001921934,0.003551556,0.001976594,0.003980663,0.002269801,0.004398006,0.003378315,0.003609332,0.003690663,0.002251245,0.162540221,0.001989828,0.008458399,0.005210556,0.005830321,0.021727342,0.003906959,0.006975122,0.003476464,0.003472239,0.010691512,0.052907517,0.002602743,0.041227062,0.001598261,0.002295682,0.006202429,0.004561676,0.002860765,0.011237466,0.00356426,0.003574894,0.003135741,0.002567122,0.005208162,0.004760199,0.045735032
7,plate_11_169,plate_11,EGF,5,0.349216268,0.003694293,0.001781515,0.002081226,0.005232449,0.014123382,0.018637912,0.005108433,0.001923269,0.01278539,0.002669699,0.003291774,0.003453177,0.00194587,0.024916899,0.002393143,0.006181225,0.006505929,0.002284888,0.002721211,0.047001509,0.002645333,0.002555997,0.026601967,0.006321984,0.00145711,0.002020857,0.009355774,0.005181881,0.003778715,0.013315295,0.009086837,0.002205234,0.003922531,0.002487938,0.003038934,0.002573742,0.004272022,0.00421367,0.003061553,0.004388185,0.002573433,0.157839359,0.002718463,0.015251927,0.005980915,0.005308287,0.018921,0.005569392,0.007641418,0.003433365,0.003043639,0.019608769,0.020193721,0.002834644,0.053388941,0.001601805,0.003097214,0.00461452,0.005917759,0.003280887,0.015589528,0.005446643,0.003225095,0.003509194,0.002826377,0.005874534,0.00561677,0.034948425
8,plate_2_169,plate_2,EGF,6,0.366676403,0.004367129,0.001978341,0.001903631,0.005665801,0.006573533,0.016167498,0.004841252,0.002347952,0.013630758,0.003260502,0.00377009,0.004407993,0.002555617,0.018850803,0.003396736,0.006438738,0.006168392,0.003087221,0.002591211,0.039241994,0.003043418,0.003125864,0.024881903,0.00670006,0.002018584,0.002838944,0.009455926,0.005821563,0.005097402,0.013490575,0.007843522,0.002327571,0.003894868,0.002738238,0.00402753,0.002570184,0.005135541,0.004180396,0.003130159,0.003430294,0.002824315,0.105906996,0.002988176,0.012139148,0.00618405,0.005423283,0.017682775,0.005721709,0.006487567,0.004176439,0.003458824,0.010873514,0.027755833,0.003785235,0.04613954,0.002340536,0.002953378,0.005813703,0.006913686,0.003289909,0.012823651,0.004331007,0.004318176,0.00408446,0.002938159,0.005558379,0.006131198,0.034554424
9,plate_3_169,plate_3,ip70S6K_EGF,7,0.330512249,0.00390281,0.002424297,0.002106294,0.004202443,0.007576252,0.013070071,0.005488059,0.002261438,0.014726277,0.003395,0.003275386,0.004398862,0.002523102,0.021196155,0.003208495,0.007659271,0.006273428,0.003010255,0.00287994,0.012670409,0.003206057,0.002849041,0.027990836,0.006992808,0.002431618,0.002495305,0.009781067,0.006331834,0.005457569,0.011416143,0.006973832,0.003075629,0.004029088,0.002676876,0.004191725,0.002339524,0.004259284,0.004152842,0.003862505,0.004358936,0.002603282,0.088076124,0.003409064,0.009983378,0.005984374,0.00604606,0.021402252,0.00739259,0.00697841,0.004058464,0.003171412,0.011771533,0.030873296,0.003194833,0.052454733,0.002066543,0.002930892,0.004700114,0.006217465,0.002979445,0.011896275,0.004174155,0.00424219,0.004371643,0.003314644,0.004832532,0.005006739,0.03587454
10,plate_4_169,plate_4,ip70S6K_EGF,4,0.375712462,0.004546864,0.001435579,0.001203559,0.003722504,0.004425746,0.0134781,0.004749632,0.001403212,0.020081472,0.002390696,0.002394338,0.003126276,0.001903748,0.076557111,0.002776594,0.00775347,0.008019674,0.001897944,0.002091548,0.012428107,0.002663976,0.002538499,0.023358437,0.006247049,0.001271846,0.003172331,0.008497697,0.005371602,0.004701612,0.014260397,0.006796551,0.001923405,0.003743156,0.001950983,0.003472198,0.002198213,0.005312217,0.004380577,0.003338917,0.003423956,0.002015063,0.043070423,0.002100365,0.008079021,0.005930081,0.006056041,0.019785442,0.007689187,0.007135715,0.003808686,0.002949264,0.009250407,0.046274851,0.00260444,0.050930885,0.001603228,0.003664891,0.005345739,0.007638394,0.002586735,0.013426731,0.005501874,0.00311659,0.002647024,0.002426812,0.00631317,0.00394657,0.04782686
