sampleID	plate_number	well_name	plate_row	plate_column	treatment	Ab_name	normalised_counts
plate_10_171	plate_10	171	B	9	ip70S6K_EGF	ITGB1	9680.5
plate_12_171	plate_12	171	B	9	No_EGF	ITGB1	10491.5
plate_13_171	plate_13	171	B	9	No_EGF	ITGB1	6875
plate_2_171	plate_2	171	B	9	ip70S6K_EGF	ITGB1	7668
plate_3_171	plate_3	171	B	9	iRSK_EGF	ITGB1	6604.5
plate_6_171	plate_6	171	B	9	EGF	ITGB1	3916.5
plate_8_171	plate_8	171	B	9	ip70S6K_EGF	ITGB1	10870
plate_9_171	plate_9	171	B	9	No_EGF	ITGB1	7852.5
plate_10_169	plate_10	169	B	7	EGF	ITGB1	7016.5
plate_11_169	plate_11	169	B	7	EGF	ITGB1	8097
plate_12_169	plate_12	169	B	7	No_EGF	ITGB1	8342.5
plate_13_169	plate_13	169	B	7	No_EGF	ITGB1	9082
plate_2_169	plate_2	169	B	7	EGF	ITGB1	8963
plate_3_169	plate_3	169	B	7	ip70S6K_EGF	ITGB1	8626.5
plate_4_169	plate_4	169	B	7	ip70S6K_EGF	ITGB1	9207.5
plate_9_169	plate_9	169	B	7	EGF	ITGB1	7094.5
plate_10_172	plate_10	172	B	10	No_EGF	ITGB1	8858.5
plate_13_172	plate_13	172	B	10	iRSK_EGF	ITGB1	7690
plate_2_172	plate_2	172	B	10	No_EGF	ITGB1	8846
plate_3_172	plate_3	172	B	10	ip70S6K_EGF	ITGB1	8998.5
plate_4_172	plate_4	172	B	10	No_EGF	ITGB1	8778.5
plate_6_172	plate_6	172	B	10	ip70S6K_EGF	ITGB1	9772.5
plate_7_172	plate_7	172	B	10	No_EGF	ITGB1	8813.5
plate_8_172	plate_8	172	B	10	iRSK_EGF	ITGB1	7053
plate_11_186	plate_11	186	C	12	ip70S6K_EGF	ITGB1	10292
plate_12_186	plate_12	186	C	12	ip70S6K_EGF	ITGB1	9424.5
plate_3_186	plate_3	186	C	12	No_EGF	ITGB1	7025.5
plate_4_186	plate_4	186	C	12	ip70S6K_EGF	ITGB1	7001.5
plate_6_186	plate_6	186	C	12	EGF	ITGB1	13515.5
plate_7_186	plate_7	186	C	12	EGF	ITGB1	9167.5
plate_8_186	plate_8	186	C	12	No_EGF	ITGB1	7583
plate_9_186	plate_9	186	C	12	iRSK_EGF	ITGB1	7022.5
plate_10_156	plate_10	156	A	6	ip70S6K_EGF	ITGB1	11467.5
plate_2_156	plate_2	156	A	6	EGF	ITGB1	8680
plate_4_156	plate_4	156	A	6	ip70S6K_EGF	ITGB1	8066.5
plate_6_156	plate_6	156	A	6	EGF	ITGB1	8342.5
plate_8_156	plate_8	156	A	6	EGF	ITGB1	8146
plate_9_156	plate_9	156	A	6	iRSK_EGF	ITGB1	9867.5
plate_10_154	plate_10	154	A	4	ip70S6K_EGF	ITGB1	8405.5
plate_12_154	plate_12	154	A	4	ip70S6K_EGF	ITGB1	7081.5
