antibody	type	cluster	intensity
BMP2_4	Cell state marker	C1	-0.35119443001661854
BMP2_4	Cell state marker	C2	0.1563988723346445
BMP2_4	Cell state marker	C3	0.380210686558374
BMP2_4	Cell state marker	C4	0.189581241415527
BMP2_4	Cell state marker	C5	-0.376422786814571
BMP2_4	Cell state marker	C6	-0.46830662658129596
BMP2_4	Cell state marker	C7	-0.4977597399146205
BMP2_4	Cell state marker	C8	1.09771371162888
BMP2_4	Cell state marker	C9	-0.471301387978303
CDK4	Cell state marker	C1	-0.399681644721211
CDK4	Cell state marker	C2	-0.7428707906448075
CDK4	Cell state marker	C3	-0.00663224931801581
CDK4	Cell state marker	C4	-0.350580837838068
CDK4	Cell state marker	C5	-0.4122123308661445
CDK4	Cell state marker	C6	0.4639961717256105
CDK4	Cell state marker	C7	0.246821875544587
CDK4	Cell state marker	C8	0.629249972632064
CDK4	Cell state marker	C9	1.24312087587065
CFOS_P	Cell state marker	C1	-0.11854357650487694
CFOS_P	Cell state marker	C2	-0.6870033491673955
CFOS_P	Cell state marker	C3	-0.292606864116277
CFOS_P	Cell state marker	C4	0.29509310937802
CFOS_P	Cell state marker	C5	-0.5154420021431525
CFOS_P	Cell state marker	C6	0.0580893175447467
CFOS_P	Cell state marker	C7	0.5325111624408175
CFOS_P	Cell state marker	C8	-0.42811740952059
CFOS_P	Cell state marker	C9	0.370213441199641
CYCLIN_B1	Cell state marker	C1	-0.170078000016642
CYCLIN_B1	Cell state marker	C2	-0.3378956585152505
CYCLIN_B1	Cell state marker	C3	-0.263795142556692
CYCLIN_B1	Cell state marker	C4	-0.444683837521402
CYCLIN_B1	Cell state marker	C5	1.700859882140045
CYCLIN_B1	Cell state marker	C6	-0.1041037459174641
CYCLIN_B1	Cell state marker	C7	-0.3843722743188295
CYCLIN_B1	Cell state marker	C8	-0.439103924173952
CYCLIN_B1	Cell state marker	C9	-0.442180850813959
CYCLIN_E	Cell state marker	C1	0.14035823083313098
CYCLIN_E	Cell state marker	C2	-0.9891590117075255
CYCLIN_E	Cell state marker	C3	-0.217801710061188
CYCLIN_E	Cell state marker	C4	-0.114545922498014
CYCLIN_E	Cell state marker	C5	-0.5115069833924171
CYCLIN_E	Cell state marker	C6	0.6757918098412334
CYCLIN_E	Cell state marker	C7	0.631408147313743
CYCLIN_E	Cell state marker	C8	0.0445315270450114
CYCLIN_E	Cell state marker	C9	1.33949986595175
ERK1_2	Cell state marker	C1	-0.9542252467452025
ERK1_2	Cell state marker	C2	-0.07843609255469411
ERK1_2	Cell state marker	C3	-0.0825935864848206
ERK1_2	Cell state marker	C4	0.160175431866209
ERK1_2	Cell state marker	C5	-0.7758719782758795
ERK1_2	Cell state marker	C6	0.0186056604940197
ERK1_2	Cell state marker	C7	-0.21384681263357852
