	Edge	Cluster	Deviation	pval	zscore	fdr
r_RB_FZD	r_RB_FZD	4	-2.84028880081857	0.000999000999000999	-5.005799066767078	0.021835307549593265
r_RB_CDC2	r_RB_CDC2	4	-2.3976919214154173	0.000999000999000999	-4.801500099283264	0.021835307549593265
r_CYCLINB1_MKK36	r_CYCLINB1_MKK36	5	-1.5541039332219848	0.000999000999000999	-6.112960302937404	0.021835307549593265
r_LRP6_BMPR	r_LRP6_BMPR	1	-0.7913611951672122	0.000999000999000999	-4.619183602490147	0.021835307549593265
r_BMPR_BMP	r_BMPR_BMP	1	-0.7362198864942902	0.000999000999000999	-3.376869698626022	0.021835307549593265
r_H3_CREB	r_H3_CREB	5	-0.585224855100572	0.000999000999000999	-5.0546837437207275	0.021835307549593265
r_CREB_LRP6	r_CREB_LRP6	3	-0.39631973552053434	0.000999000999000999	-3.3468836658412795	0.021835307549593265
r_H2A_RB	r_H2A_RB	7	-0.18350133266948834	0.000999000999000999	-3.121232681039449	0.021835307549593265
r_CREB_P38	r_CREB_P38	1	0.5848204341000655	0.000999000999000999	3.151329721051923	0.021835307549593265
r_H2A_RB	r_H2A_RB	5	0.8482014786313345	0.000999000999000999	12.157068994571203	0.021835307549593265
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	5	0.8580571513568767	0.000999000999000999	6.124228720904602	0.021835307549593265
r_LRP6_BMPR	r_LRP6_BMPR	4	0.8755440629481837	0.000999000999000999	4.8937543676857	0.021835307549593265
r_ERK12_EGFRY1045	r_ERK12_EGFRY1045	8	1.0641375429988114	0.000999000999000999	3.266587736928025	0.021835307549593265
r_JNK_BMPR	r_JNK_BMPR	8	1.2071585889103456	0.000999000999000999	4.470693644756027	0.021835307549593265
r_MAPKAP2_LRP6	r_MAPKAP2_LRP6	8	-0.5803632415628885	0.001998001998001998	-3.118662143789309	0.03217834796782165
r_H2A_RB	r_H2A_RB	8	-0.2572249816069879	0.001998001998001998	-3.2116380242731037	0.03217834796782165
p_ip70S6K.EGF_RPS6	p_ip70S6K.EGF_RPS6	2	0.2229725240021173	0.001998001998001998	2.93988071483801	0.03217834796782165
s_AKT1	s_AKT1	7	0.3806401593888629	0.001998001998001998	2.4676813954125842	0.03217834796782165
r_STAT1_SRC	r_STAT1_SRC	9	0.5124094327384567	0.001998001998001998	3.340287219566601	0.03217834796782165
r_H3_CREB	r_H3_CREB	1	-0.3685737738367869	0.002997002997002997	-3.0856359643245987	0.041685587140132596
r_CREB_LRP6	r_CREB_LRP6	1	0.43729952213191414	0.002997002997002997	3.4771940509460295	0.041685587140132596
r_MAPKAP2_LRP6	r_MAPKAP2_LRP6	6	0.5788710336901401	0.002997002997002997	2.9440314755140076	0.041685587140132596
r_CYCLINB1_MAPKAP2	r_CYCLINB1_MAPKAP2	2	-0.37683923875999753	0.003996003996003996	-2.824130299634866	0.05094905094905095
